feature,importance
flat_0527,0.00019215687023704664
flat_0442,0.0001916869838100387
flat_0462,0.00019147945384780825
flat_0460,0.0001908612760862683
flat_0525,0.00019066165292824495
flat_0430,0.0001902519515490555
flat_0456,0.00019004625497541898
flat_0431,0.00018971373168804654
flat_0061,0.00018956110433834394
flat_0519,0.00018920823477512687
flat_0493,0.00018897685769446118
flat_0485,0.00018894160679901322
flat_0135,0.00018867935602954103
flat_0498,0.0001881964355094355
flat_0011,0.00018815791824120927
flat_0445,0.00018784520741052627
flat_0046,0.00018743065168987262
flat_0007,0.00018702348917964701
flat_0421,0.00018665029301737822
flat_0006,0.00018653777805485643
flat_0092,0.0001859270656640257
flat_0127,0.00018553029771428383
flat_0008,0.00018540206430670342
flat_0423,0.00018504696810716197
flat_0025,0.00018467130440294325
flat_0399,0.00018440937852982675
flat_0160,0.00018419213835061727
flat_0484,0.00018400941916828188
flat_0515,0.00018372563812722173
flat_0477,0.00018334755037257238
flat_0545,0.0001832580679901299
flat_0387,0.00018290163567662488
flat_0504,0.000182885260576821
flat_0455,0.000182759507874652
flat_0447,0.00018265952467990548
flat_0509,0.00018129782179083807
flat_0001,0.0001808808300179621
flat_0480,0.00018051857242236977
flat_0021,0.00018008259613726144
flat_0474,0.0001797453206920322
flat_0558,0.000179626740188178
flat_0475,0.00017953870404940363
flat_0078,0.00017946666544585535
flat_0386,0.0001792721996636295
flat_0000,0.0001785860087968801
flat_0537,0.00017808923600128848
flat_0434,0.00017794763716434456
flat_0388,0.0001777173885632928
flat_0550,0.00017770598702030537
flat_0505,0.00017768336083719667
flat_0124,0.00017766474936808187
flat_0132,0.00017755188313366033
flat_0037,0.00017734937076421407
flat_0171,0.00017672559774620193
flat_0158,0.00017626604683266067
flat_0045,0.00017599947274355554
flat_0049,0.000175279289309612
flat_0013,0.00017525372417221877
flat_0433,0.00017503160028167997
flat_0018,0.00017496093415724515
flat_0482,0.00017476255078726046
flat_0441,0.00017475663615726964
flat_0062,0.00017465274602097264
flat_0422,0.0001740000999907667
flat_0444,0.00017379862432530333
flat_0556,0.00017368994247659038
flat_0535,0.00017262569979328954
flat_0533,0.00017225872840547597
flat_0097,0.00017206763344426647
flat_0393,0.0001709251821547159
flat_0531,0.00017068895330976858
flat_0492,0.00016894101448768634
flat_0047,0.00016879047545616396
flat_0153,0.00016839063241467006
flat_0174,0.00016824618166226584
flat_0095,0.00016701084066083154
flat_0534,0.00016603866641101326
flat_0069,0.00016594457405239737
flat_0010,0.00016581956555705807
flat_0183,0.00016558121943587522
flat_0137,0.00016509326508737165
flat_0501,0.00016467750411852295
flat_0496,0.00016318356851207396
flat_0395,0.0001619025495186015
flat_0136,0.00016188220175076244
flat_0161,0.00016096527028486375
flat_0416,0.00016086414518781154
flat_0141,0.00016077341994658086
flat_0539,0.00016050546923770134
flat_0428,0.000160139129724986
flat_0398,0.00015995183217548363
flat_0495,0.0001597226337295329
flat_0187,0.0001594049068035843
flat_0529,0.00015889145673551888
flat_0060,0.00015873909165875673
flat_0542,0.000158550725026476
flat_0419,0.00015825820718030106
flat_0123,0.0001581133468766752
flat_0089,0.00015784878305928173
flat_0131,0.00015760977445145247
flat_0526,0.000157514820590152
flat_0540,0.0001570567162565511
flat_0391,0.00015611074158101894
flat_0162,0.00015537171750961085
flat_0413,0.00015449428868571292
flat_0521,0.00015405195194374363
flat_0418,0.00015394491804113426
flat_0015,0.00014948054985944572
flat_0559,0.0001491563326191795
flat_0506,0.00014892918162677266
flat_0508,0.00014786653511344249
flat_0415,0.00014759869640790024
flat_0053,0.0001459607713374533
flat_0522,0.00014418015171565793
flat_0503,0.00014043889877534985
flat_0536,0.000137877202085727
flat_0432,0.00013656301881233822
flat_0182,0.00013450865405779304
flat_0052,0.0001344168732187249
flat_0098,0.00013237363005920276
flat_0446,0.00013069687904498117
flat_0125,0.00013068145794614135
flat_0532,0.00012580901878081704
flat_0459,0.00012337073393000459
flat_0016,0.00011326610504138634
dom_freq_d1,7.305848341791069e-05
dom_freq_d0,4.9447976123471314e-05
